,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
UploadSpeed,0.4412966256174643,-0.35222288013331576,0.14819979631377078,-0.3675291489480384,-0.5191126670470636,0.260034695813106,-0.2643910122184682,-0.25553666318147117,-0.0976164459731957,0.07073714036556981,-0.04033285469025407,-0.058951846649044036,-0.017347364597482696,0.01971446844213099,0.011248545582105071,-0.057761764461453105,-0.1609883750454171,-0.01865607705105231,-0.03537278841686757,0.006705894908063606,0.019539737783323356,-0.011271173372446678,0.00046131393674340445
Download,0.5938483987273869,-0.4759857085324906,0.03891629743634168,-0.26443888309544783,-0.3745804990044031,0.22262678502592168,-0.19405638444019968,-0.24679548198390375,-0.10628949301764434,0.06473679120848459,-0.009456865755679732,0.01723120631540224,-0.037925493950600915,-0.019981862233065587,-0.0015917570857034164,0.04115810660680596,0.19756163105190527,0.014104483679645024,0.04403345886924444,-0.0020970565798914165,-0.015122760530037894,0.00947069827086426,0.00030219737215160275
FixedBroadbandSubscriptions,0.7611624912006068,-0.4354552177268904,-0.20255398500536173,0.12754193133120506,0.04546877677188322,-0.12716867868385906,-0.122056942031471,-0.017392630938963836,0.091586589363171,-0.08900048630079684,0.01614144428240168,0.10244176995735116,0.06797309633043284,0.0742535686667643,0.15522553985183013,0.2744693672349082,-0.05047067717444175,-0.031169904957854034,0.001981370921212347,-0.008932123187366569,0.0052804258922056185,-0.004047985514471824,-0.0015660942731048706
ChargesIntellProperty,0.26276247653773216,-0.24334727954093738,-0.10979770552246895,-0.06628314775183741,-0.12577299051216667,0.16993213637402454,0.7852064344423618,-0.2515922373354249,0.10498038435585555,-0.11311275789891857,0.2284011329180807,-0.229181718976041,-0.024931129996060265,0.013567922286866579,0.026190929969760565,0.01871369136340155,-0.004454891985373311,-0.01901051766549712,-0.00298526696420637,-0.0009214210917496034,0.001546095539190538,0.0017181802373878795,0.0007314215930330334
GovernmentExpenditureOnEducation,0.053771256118607995,-0.07271445112145661,-0.13178265557502408,0.3965331686727771,0.10086501957717585,0.713670664905335,-0.014997198729769722,0.3096870944773566,-0.2893261451034966,-0.16063806929563282,-0.2182245733946113,-0.198218462256997,0.013888596295543492,0.032325535943086674,0.05996562781548174,0.016289781889228267,0.0031755412548172125,-0.006973874031006484,-0.0001527941017459462,0.000859538762294951,-4.3392155435265584e-05,0.0003938581089844765,0.00014168009367904782
GrossEnrolmentRatio,0.6166744330321106,-0.3600098656016807,0.015275736827199685,0.24375137234035826,0.022280343812963305,-0.01450083669649522,-0.20240362495301445,0.1965564398953989,-0.11575852529261974,0.03631495638756597,0.4619549653714073,-0.09651559720645163,0.2686109514340696,-0.19121938063933047,-0.036627497582246336,-0.049896832180647575,-0.005454062348507373,0.0035521621136178215,0.01021944755347677,-0.0018084579321914467,0.0031436354406785827,-0.0010961521183354924,0.0018788212704417924
HighTechnologyExports,0.23789770254480364,-0.3678530749098387,0.006008711256032424,-0.21339048602863106,-0.1448333632665909,0.32963318543888265,0.0491997380229616,0.4658002229991807,0.6204489039795851,0.13209179924044717,-0.044555994439191726,0.08678103867692619,0.01650581987740165,-0.01916598404652329,-0.015785050524082054,-0.024522551927481134,0.005664953879743203,0.0060052506542031545,-0.002375502976627583,0.0004979217572858564,-0.002508096469051663,-0.000278707218358819,8.208396317235659e-05
GINIindex,-0.5586222645597726,0.22415707302935126,-0.40164301767923516,0.3166188594765986,-0.5665743219686262,-0.07502248696201155,0.029177001100349518,0.05729951344861342,0.027211601108550275,-0.10137959163551864,-0.016409359381407473,0.07027465202076993,-0.0007138464516688032,-0.038629353907822295,-0.033440106065409404,-0.010099179709423483,-0.042156523328930495,-0.03039231752903347,0.1518544109464099,-0.024050919684979674,0.0089430311497763,0.0005992670458299647,-0.0015232528297796733
IncomeShareLow20,0.4817328624085075,-0.16552289436328804,0.433827557522249,-0.3844060721290663,0.5942003905975298,0.10106480192179922,-0.010030718312530051,-0.07867165399431808,0.006379501362567024,0.05409414674372352,-0.03980131366090203,-0.06180553035523096,-0.005213898628555631,0.02360426063088612,0.02842935620022783,-0.03108544101823787,-0.04437553778155181,-0.02404032478654186,0.14558324863332422,-0.020842874145530384,0.008448578516817993,0.001969795150105237,-0.0014444418896749744
SurveyMeanIncome,0.4082218832442321,-0.5121384149800488,-0.32391260275516787,0.1301902625549803,0.22785577780228677,0.21009783304800608,0.2394388845661336,-0.1003898496693671,-0.17889714575693233,0.05742646348902828,-0.04420738825805411,0.42626424580815786,-0.10160987754726479,-0.1977073459761736,-0.12215874861401624,-0.021867860702902094,-0.03110997218981486,-0.02749118436493028,-0.008998460973663969,0.012448882898770096,0.0009102533232850591,-0.00046779824113349957,5.878394201026184e-06
Unemployment,0.07793525515770498,0.23982699784040304,0.07161794751252679,0.690373656322378,0.03491681297933919,0.19482046151217977,0.014530102608821129,-0.30108030874448366,0.12373594957012768,0.5364526129269025,0.01486677095485253,0.015449426234762259,0.04621828691456013,0.11517365415032185,0.07242538782177871,-0.017905553985911458,-0.0016600372160580194,0.005047703286783097,0.007736390821473761,-0.004682454715271492,-0.0004754142826516719,0.0005035007695780366,-0.0004293269351356994
UnemploymentTertiaryEducation,0.3514535036284551,-0.050076482504991866,0.25174242236169164,-0.212900907717683,-0.2595560765602253,-0.2590227920175876,0.3558915974263371,0.4625186503957907,-0.39056694547594295,0.3519983270379736,-0.04088130200645039,0.03599749549672242,-0.0020636271645959577,0.09231268583064849,0.0296265010496583,0.03527022002695791,-0.003818039627606965,-0.00827733976237744,0.008971882388423735,0.0008575114081709742,0.0016564762862417216,0.00016991068047826115,-0.0002783433094385342
GDP_BM,0.5018049327407561,-0.4868560157202953,-0.3238803808045307,0.030485465653565795,-0.0017058730177024004,-0.31122652026039965,0.15362283015551084,-0.11337584322272172,0.03457100893561483,-0.0457291449121924,-0.38583593683945755,-0.03748382718637985,0.3016295087451238,-0.028927418279947364,0.1076281218895341,-0.11771222302982715,0.013115800844238338,0.028260213276715712,0.0010807007987331202,0.011206013063650808,-0.008040003935278919,-0.006007464079270665,0.0005111616395702535
