Siruta,Localitate,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
4767,Horea,315.3,315.3,1051.0,1051.0,4204,210.2,315.3,1051.0,315.3,315.3,1051.0,1051.0,4204,210.2,315.3,1051.0
4927,Ighiu,1030.05,1030.05,3433.5,3433.5,13734,686.7,1030.05,3433.5,1030.05,1030.05,3433.5,3433.5,13734,686.7,1030.05,3433.5
4981,Intregalde,94.05,94.05,313.5,313.5,1254,62.7,94.05,313.5,94.05,94.05,313.5,313.5,1254,62.7,94.05,313.5
5103,Jidvei,796.35,796.35,2654.5,2654.5,10618,530.9,796.35,2654.5,796.35,796.35,2654.5,2654.5,10618,530.9,796.35,2654.5
5167,Livezile,190.65,190.65,635.5,635.5,2542,127.1,190.65,635.5,190.65,190.65,635.5,635.5,2542,127.1,190.65,635.5
5210,Lopadea Noua,407.4,407.4,1358.0,1358.0,5432,271.6,407.4,1358.0,407.4,407.4,1358.0,1358.0,5432,271.6,407.4,1358.0
5309,Lunca Muresului,382.5,382.5,1275.0,1275.0,5100,255.0,382.5,1275.0,382.5,382.5,1275.0,1275.0,5100,255.0,382.5,1275.0
5336,Lupsa,476.1,476.1,1587.0,1587.0,6348,317.4,476.1,1587.0,476.1,476.1,1587.0,1587.0,6348,317.4,476.1,1587.0
5577,Metes,424.95,424.95,1416.5,1416.5,5666,283.3,424.95,1416.5,424.95,424.95,1416.5,1416.5,5666,283.3,424.95,1416.5
5700,Mihalt,491.85,491.85,1639.5,1639.5,6558,327.9,491.85,1639.5,491.85,491.85,1639.5,1639.5,6558,327.9,491.85,1639.5
5755,Miraslau,318.3,318.3,1061.0,1061.0,4244,212.2,318.3,1061.0,318.3,318.3,1061.0,1061.0,4244,212.2,318.3,1061.0
5826,Mogos,121.8,121.8,406.0,406.0,1624,81.2,121.8,406.0,121.8,121.8,406.0,406.0,1624,81.2,121.8,406.0
6048,Noslac,272.55,272.55,908.5,908.5,3634,181.7,272.55,908.5,272.55,272.55,908.5,908.5,3634,181.7,272.55,908.5
6119,Ocolis,88.5,88.5,295.0,295.0,1180,59.0,88.5,295.0,88.5,88.5,295.0,295.0,1180,59.0,88.5,295.0
6164,Ohaba,101.25,101.25,337.5,337.5,1350,67.5,101.25,337.5,101.25,101.25,337.5,337.5,1350,67.5,101.25,337.5
6217,Pianu,541.65,541.65,1805.5,1805.5,7222,361.1,541.65,1805.5,541.65,541.65,1805.5,1805.5,7222,361.1,541.65,1805.5
6271,Poiana Vadului,166.5,166.5,555.0,555.0,2220,111.0,166.5,555.0,166.5,166.5,555.0,555.0,2220,111.0,166.5,555.0
6397,Ponor,86.4,86.4,288.0,288.0,1152,57.6,86.4,288.0,86.4,86.4,288.0,288.0,1152,57.6,86.4,288.0
6468,Posaga,159.75,159.75,532.5,532.5,2130,106.5,159.75,532.5,159.75,159.75,532.5,532.5,2130,106.5,159.75,532.5
6547,Radesti,199.05,199.05,663.5,663.5,2654,132.7,199.05,663.5,199.05,199.05,663.5,663.5,2654,132.7,199.05,663.5
6592,Rametea,157.65,157.65,525.5,525.5,2102,105.1,157.65,525.5,157.65,157.65,525.5,525.5,2102,105.1,157.65,525.5
6627,Ramet,81.3,81.3,271.0,271.0,1084,54.2,81.3,271.0,81.3,81.3,271.0,271.0,1084,54.2,81.3,271.0
6761,Rosia Montana,430.65,430.65,1435.5,1435.5,5742,287.1,430.65,1435.5,430.65,430.65,1435.5,1435.5,5742,287.1,430.65,1435.5
6930,Rosia De Secas,240.15,240.15,800.5,800.5,3202,160.1,240.15,800.5,240.15,240.15,800.5,800.5,3202,160.1,240.15,800.5
6976,Salciua,232.35,232.35,774.5,774.5,3098,154.9,232.35,774.5,232.35,232.35,774.5,774.5,3098,154.9,232.35,774.5
7044,Salistea,353.1,353.1,1177.0,1177.0,4708,235.4,353.1,1177.0,353.1,353.1,1177.0,1177.0,4708,235.4,353.1,1177.0
7099,Sasciori,962.85,962.85,3209.5,3209.5,12838,641.9,962.85,3209.5,962.85,962.85,3209.5,3209.5,12838,641.9,962.85,3209.5
7197,Scarisoara,252.3,252.3,841.0,841.0,3364,168.2,252.3,841.0,252.3,252.3,841.0,841.0,3364,168.2,252.3,841.0
7348,Sancel,405.45,405.45,1351.5,1351.5,5406,270.3,405.45,1351.5,405.45,405.45,1351.5,1351.5,5406,270.3,405.45,1351.5
7384,Santimbru,452.85,452.85,1509.5,1509.5,6038,301.9,452.85,1509.5,452.85,452.85,1509.5,1509.5,6038,301.9,452.85,1509.5
7446,Sohodol,269.55,269.55,898.5,898.5,3594,179.7,269.55,898.5,269.55,269.55,898.5,898.5,3594,179.7,269.55,898.5
7767,Stremt,371.85,371.85,1239.5,1239.5,4958,247.9,371.85,1239.5,371.85,371.85,1239.5,1239.5,4958,247.9,371.85,1239.5
7810,Sibot,369.6,369.6,1232.0,1232.0,4928,246.4,369.6,1232.0,369.6,369.6,1232.0,1232.0,4928,246.4,369.6,1232.0
7865,Sona,664.95,664.95,2216.5,2216.5,8866,443.3,664.95,2216.5,664.95,664.95,2216.5,2216.5,8866,443.3,664.95,2216.5
7945,Spring,388.65,388.65,1295.5,1295.5,5182,259.1,388.65,1295.5,388.65,388.65,1295.5,1295.5,5182,259.1,388.65,1295.5
8014,Sugag,436.95,436.95,1456.5,1456.5,5826,291.3,436.95,1456.5,436.95,436.95,1456.5,1456.5,5826,291.3,436.95,1456.5
8096,Oras Teius,1127.85,1127.85,3759.5,3759.5,15038,751.9,1127.85,3759.5,1127.85,1127.85,3759.5,3759.5,15038,751.9,1127.85,3759.5
8158,Unirea,760.65,760.65,2535.5,2535.5,10142,507.1,760.65,2535.5,760.65,760.65,2535.5,2535.5,10142,507.1,760.65,2535.5
8229,Vadu Motilor,206.25,206.25,687.5,687.5,2750,137.5,206.25,687.5,206.25,206.25,687.5,687.5,2750,137.5,206.25,687.5
8354,Valea Lunga,470.7,470.7,1569.0,1569.0,6276,313.8,470.7,1569.0,470.7,470.7,1569.0,1569.0,6276,313.8,470.7,1569.0
8425,Vidra,248.7,248.7,829.0,829.0,3316,165.8,248.7,829.0,248.7,248.7,829.0,829.0,3316,165.8,248.7,829.0
8826,Vintu De Jos,821.25,821.25,2737.5,2737.5,10950,547.5,821.25,2737.5,821.25,821.25,2737.5,2737.5,10950,547.5,821.25,2737.5
9019,Cut,190.35,190.35,634.5,634.5,2538,126.9,190.35,634.5,190.35,190.35,634.5,634.5,2538,126.9,190.35,634.5
9026,Bucerdea Granoasa,360.9,360.9,1203.0,1203.0,4812,240.6,360.9,1203.0,360.9,360.9,1203.0,1203.0,4812,240.6,360.9,1203.0
9262,Municipiul Arad,26873.25,26873.25,89577.5,89577.5,358310,17915.5,26873.25,89577.5,26873.25,26873.25,89577.5,89577.5,358310,17915.5,26873.25,89577.5
9280,Fantanele,556.8,556.8,1856.0,1856.0,7424,371.2,556.8,1856.0,556.8,556.8,1856.0,1856.0,7424,371.2,556.8,1856.0
9333,Livada,521.1,521.1,1737.0,1737.0,6948,347.4,521.1,1737.0,521.1,521.1,1737.0,1737.0,6948,347.4,521.1,1737.0
9360,Sofronea,412.65,412.65,1375.5,1375.5,5502,275.1,412.65,1375.5,412.65,412.65,1375.5,1375.5,5502,275.1,412.65,1375.5
9397,Vladimirescu,1947.3,1947.3,6491.0,6491.0,25964,1298.2,1947.3,6491.0,1947.3,1947.3,6491.0,6491.0,25964,1298.2,1947.3,6491.0
9459,Oras Chisineu-Cris,1265.55,1265.55,4218.5,4218.5,16874,843.7,1265.55,4218.5,1265.55,1265.55,4218.5,4218.5,16874,843.7,1265.55,4218.5
9495,Oras Curtici,1307.4,1307.4,4358.0,4358.0,17432,871.6,1307.4,4358.0,1307.4,1307.4,4358.0,4358.0,17432,871.6,1307.4,4358.0
9538,Oras Ineu,1437.15,1437.15,4790.5,4790.5,19162,958.1,1437.15,4790.5,1437.15,1437.15,4790.5,4790.5,19162,958.1,1437.15,4790.5
9574,Oras Lipova,1709.4,1709.4,5698.0,5698.0,22792,1139.6,1709.4,5698.0,1709.4,1709.4,5698.0,5698.0,22792,1139.6,1709.4,5698.0
9627,Oras Nadlac,1200.3,1200.3,4001.0,4001.0,16004,800.2,1200.3,4001.0,1200.3,1200.3,4001.0,4001.0,16004,800.2,1200.3,4001.0
9654,Oras Pancota,1218.9,1218.9,4063.0,4063.0,16252,812.6,1218.9,4063.0,1218.9,1218.9,4063.0,4063.0,16252,812.6,1218.9,4063.0
9690,Oras Sebis,966.75,966.75,3222.5,3222.5,12890,644.5,966.75,3222.5,966.75,966.75,3222.5,3222.5,12890,644.5,966.75,3222.5
9743,Almas,393.75,393.75,1312.5,1312.5,5250,262.5,393.75,1312.5,393.75,393.75,1312.5,1312.5,5250,262.5,393.75,1312.5
9798,Apateu,514.65,514.65,1715.5,1715.5,6862,343.1,514.65,1715.5,514.65,514.65,1715.5,1715.5,6862,343.1,514.65,1715.5
9832,Archis,231.75,231.75,772.5,772.5,3090,154.5,231.75,772.5,231.75,231.75,772.5,772.5,3090,154.5,231.75,772.5
9887,Bata,158.85,158.85,529.5,529.5,2118,105.9,158.85,529.5,158.85,158.85,529.5,529.5,2118,105.9,158.85,529.5
9930,Beliu,453.75,453.75,1512.5,1512.5,6050,302.5,453.75,1512.5,453.75,453.75,1512.5,1512.5,6050,302.5,453.75,1512.5
10006,Birchis,283.35,283.35,944.5,944.5,3778,188.9,283.35,944.5,283.35,283.35,944.5,944.5,3778,188.9,283.35,944.5
10051,Barsa,275.1,275.1,917.0,917.0,3668,183.4,275.1,917.0,275.1,275.1,917.0,917.0,3668,183.4,275.1,917.0
10104,Barzava,381.45,381.45,1271.5,1271.5,5086,254.3,381.45,1271.5,381.45,381.45,1271.5,1271.5,5086,254.3,381.45,1271.5
10195,Bocsig,509.4,509.4,1698.0,1698.0,6792,339.6,509.4,1698.0,509.4,509.4,1698.0,1698.0,6792,339.6,509.4,1698.0
10239,Brazii,183.9,183.9,613.0,613.0,2452,122.6,183.9,613.0,183.9,183.9,613.0,613.0,2452,122.6,183.9,613.0
10293,Buteni,511.05,511.05,1703.5,1703.5,6814,340.7,511.05,1703.5,511.05,511.05,1703.5,1703.5,6814,340.7,511.05,1703.5
10346,Carand,174.0,174.0,580.0,580.0,2320,116.0,174.0,580.0,174.0,174.0,580.0,580.0,2320,116.0,174.0,580.0
10373,Cermei,411.0,411.0,1370.0,1370.0,5480,274.0,411.0,1370.0,411.0,411.0,1370.0,1370.0,5480,274.0,411.0,1370.0
10417,Chisindia,197.55,197.55,658.5,658.5,2634,131.7,197.55,658.5,197.55,197.55,658.5,658.5,2634,131.7,197.55,658.5
10453,Conop,342.0,342.0,1140.0,1140.0,4560,228.0,342.0,1140.0,342.0,342.0,1140.0,1140.0,4560,228.0,342.0,1140.0
10514,Covasint,408.15,408.15,1360.5,1360.5,5442,272.1,408.15,1360.5,408.15,408.15,1360.5,1360.5,5442,272.1,408.15,1360.5
10532,Craiva,434.55,434.55,1448.5,1448.5,5794,289.7,434.55,1448.5,434.55,434.55,1448.5,1448.5,5794,289.7,434.55,1448.5
10649,Dezna,180.9,180.9,603.0,603.0,2412,120.6,180.9,603.0,180.9,180.9,603.0,603.0,2412,120.6,180.9,603.0
10701,Dieci,223.5,223.5,745.0,745.0,2980,149.0,223.5,745.0,223.5,223.5,745.0,745.0,2980,149.0,223.5,745.0
10765,Ususau,213.0,213.0,710.0,710.0,2840,142.0,213.0,710.0,213.0,213.0,710.0,710.0,2840,142.0,213.0,710.0
10827,Felnac,471.45,471.45,1571.5,1571.5,6286,314.3,471.45,1571.5,471.45,471.45,1571.5,1571.5,6286,314.3,471.45,1571.5
10872,Ghioroc,612.6,612.6,2042.0,2042.0,8168,408.4,612.6,2042.0,612.6,612.6,2042.0,2042.0,8168,408.4,612.6,2042.0
10916,Graniceri,381.75,381.75,1272.5,1272.5,5090,254.5,381.75,1272.5,381.75,381.75,1272.5,1272.5,5090,254.5,381.75,1272.5
10943,Gurahont,585.0,585.0,1950.0,1950.0,7800,390.0,585.0,1950.0,585.0,585.0,1950.0,1950.0,7800,390.0,585.0,1950.0
11058,Halmagiu,414.9,414.9,1383.0,1383.0,5532,276.6,414.9,1383.0,414.9,414.9,1383.0,1383.0,5532,276.6,414.9,1383.0
11174,Halmagel,183.9,183.9,613.0,613.0,2452,122.6,183.9,613.0,183.9,183.9,613.0,613.0,2452,122.6,183.9,613.0
11236,Hasmas,190.35,190.35,634.5,634.5,2538,126.9,190.35,634.5,190.35,190.35,634.5,634.5,2538,126.9,190.35,634.5
11307,Ignesti,108.15,108.15,360.5,360.5,1442,72.1,108.15,360.5,108.15,108.15,360.5,360.5,1442,72.1,108.15,360.5
11352,Iratosu,383.55,383.55,1278.5,1278.5,5114,255.7,383.55,1278.5,383.55,383.55,1278.5,1278.5,5114,255.7,383.55,1278.5
11398,Macea,1074.9,1074.9,3583.0,3583.0,14332,716.6,1074.9,3583.0,1074.9,1074.9,3583.0,3583.0,14332,716.6,1074.9,3583.0
11423,Misca,568.05,568.05,1893.5,1893.5,7574,378.7,568.05,1893.5,568.05,568.05,1893.5,1893.5,7574,378.7,568.05,1893.5
11478,Moneasa,138.0,138.0,460.0,460.0,1840,92.0,138.0,460.0,138.0,138.0,460.0,460.0,1840,92.0,138.0,460.0
11502,Olari,300.9,300.9,1003.0,1003.0,4012,200.6,300.9,1003.0,300.9,300.9,1003.0,1003.0,4012,200.6,300.9,1003.0
11539,Paulis,651.0,651.0,2170.0,2170.0,8680,434.0,651.0,2170.0,651.0,651.0,2170.0,2170.0,8680,434.0,651.0,2170.0
11584,Oras Pecica,2118.6,2118.6,7062.0,7062.0,28248,1412.4,2118.6,7062.0,2118.6,2118.6,7062.0,7062.0,28248,1412.4,2118.6,7062.0
11637,Peregu Mare,271.05,271.05,903.5,903.5,3614,180.7,271.05,903.5,271.05,271.05,903.5,903.5,3614,180.7,271.05,903.5
11664,Petris,207.3,207.3,691.0,691.0,2764,138.2,207.3,691.0,207.3,207.3,691.0,691.0,2764,138.2,207.3,691.0
11735,Pilu,327.45,327.45,1091.5,1091.5,4366,218.3,327.45,1091.5,327.45,327.45,1091.5,1091.5,4366,218.3,327.45,1091.5
11762,Plescuta,174.15,174.15,580.5,580.5,2322,116.1,174.15,580.5,174.15,174.15,580.5,580.5,2322,116.1,174.15,580.5
11842,Savarsin,438.75,438.75,1462.5,1462.5,5850,292.5,438.75,1462.5,438.75,438.75,1462.5,1462.5,5850,292.5,438.75,1462.5
11940,Secusigiu,932.4,932.4,3108.0,3108.0,12432,621.6,932.4,3108.0,932.4,932.4,3108.0,3108.0,12432,621.6,932.4,3108.0
11995,Seleus,448.05,448.05,1493.5,1493.5,5974,298.7,448.05,1493.5,448.05,448.05,1493.5,1493.5,5974,298.7,448.05,1493.5
12037,Semlac,635.4,635.4,2118.0,2118.0,8472,423.6,635.4,2118.0,635.4,635.4,2118.0,2118.0,8472,423.6,635.4,2118.0
12055,Sintea Mare,576.6,576.6,1922.0,1922.0,7688,384.4,576.6,1922.0,576.6,576.6,1922.0,1922.0,7688,384.4,576.6,1922.0
12091,Oras Santana,2345.4,2345.4,7818.0,7818.0,31272,1563.6,2345.4,7818.0,2345.4,2345.4,7818.0,7818.0,31272,1563.6,2345.4,7818.0
12126,Socodor,341.55,341.55,1138.5,1138.5,4554,227.7,341.55,1138.5,341.55,341.55,1138.5,1138.5,4554,227.7,341.55,1138.5
12144,Sagu,623.85,623.85,2079.5,2079.5,8318,415.9,623.85,2079.5,623.85,623.85,2079.5,2079.5,8318,415.9,623.85,2079.5
12206,Seitin,463.65,463.65,1545.5,1545.5,6182,309.1,463.65,1545.5,463.65,463.65,1545.5,1545.5,6182,309.1,463.65,1545.5
12224,Sepreus,436.05,436.05,1453.5,1453.5,5814,290.7,436.05,1453.5,436.05,436.05,1453.5,1453.5,5814,290.7,436.05,1453.5
12242,Sicula,641.55,641.55,2138.5,2138.5,8554,427.7,641.55,2138.5,641.55,641.55,2138.5,2138.5,8554,427.7,641.55,2138.5
12288,Silindia,131.25,131.25,437.5,437.5,1750,87.5,131.25,437.5,131.25,131.25,437.5,437.5,1750,87.5,131.25,437.5
12340,Simand,664.95,664.95,2216.5,2216.5,8866,443.3,664.95,2216.5,664.95,664.95,2216.5,2216.5,8866,443.3,664.95,2216.5
12368,Siria,1362.45,1362.45,4541.5,4541.5,18166,908.3,1362.45,4541.5,1362.45,1362.45,4541.5,4541.5,18166,908.3,1362.45,4541.5
12402,Sistarovat,47.85,47.85,159.5,159.5,638,31.9,47.85,159.5,47.85,47.85,159.5,159.5,638,31.9,47.85,159.5
12457,Taut,249.75,249.75,832.5,832.5,3330,166.5,249.75,832.5,249.75,249.75,832.5,832.5,3330,166.5,249.75,832.5
12509,Tarnova,930.45,930.45,3101.5,3101.5,12406,620.3,930.45,3101.5,930.45,930.45,3101.5,3101.5,12406,620.3,930.45,3101.5
12572,Varadia De Mures,252.75,252.75,842.5,842.5,3370,168.5,252.75,842.5,252.75,252.75,842.5,842.5,3370,168.5,252.75,842.5
12643,Vinga,1029.9,1029.9,3433.0,3433.0,13732,686.6,1029.9,3433.0,1029.9,1029.9,3433.0,3433.0,13732,686.6,1029.9,3433.0
12689,Varfurile,402.15,402.15,1340.5,1340.5,5362,268.1,402.15,1340.5,402.15,402.15,1340.5,1340.5,5362,268.1,402.15,1340.5
12778,Zabrani,691.05,691.05,2303.5,2303.5,9214,460.7,691.05,2303.5,691.05,691.05,2303.5,2303.5,9214,460.7,691.05,2303.5
12812,Zarand,411.75,411.75,1372.5,1372.5,5490,274.5,411.75,1372.5,411.75,411.75,1372.5,1372.5,5490,274.5,411.75,1372.5
12849,Zerind,216.45,216.45,721.5,721.5,2886,144.3,216.45,721.5,216.45,216.45,721.5,721.5,2886,144.3,216.45,721.5
12876,Zimandu Nou,735.0,735.0,2450.0,2450.0,9800,490.0,735.0,2450.0,735.0,735.0,2450.0,2450.0,9800,490.0,735.0,2450.0
12912,Dorobanti,241.35,241.35,804.5,804.5,3218,160.9,241.35,804.5,241.35,241.35,804.5,804.5,3218,160.9,241.35,804.5
12920,Frumuseni,414.75,414.75,1382.5,1382.5,5530,276.5,414.75,1382.5,414.75,414.75,1382.5,1382.5,5530,276.5,414.75,1382.5
12938,Zadareni,425.7,425.7,1419.0,1419.0,5676,283.8,425.7,1419.0,425.7,425.7,1419.0,1419.0,5676,283.8,425.7,1419.0
13169,Municipiul Pitesti,26520.45,26520.45,88401.5,88401.5,353606,17680.3,26520.45,88401.5,26520.45,26520.45,88401.5,88401.5,353606,17680.3,26520.45,88401.5
13187,Bascov,1578.45,1578.45,5261.5,5261.5,21046,1052.3,1578.45,5261.5,1578.45,1578.45,5261.5,5261.5,21046,1052.3,1578.45,5261.5
13276,Bradu,1157.1,1157.1,3857.0,3857.0,15428,771.4,1157.1,3857.0,1157.1,1157.1,3857.0,3857.0,15428,771.4,1157.1,3857.0
13301,Oras Mioveni,5183.85,5183.85,17279.5,17279.5,69118,3455.9,5183.85,17279.5,5183.85,5183.85,17279.5,17279.5,69118,3455.9,5183.85,17279.5
13365,Maracineni,787.5,787.5,2625.0,2625.0,10500,525.0,787.5,2625.0,787.5,787.5,2625.0,2625.0,10500,525.0,787.5,2625.0
13392,Oras Stefanesti,2285.7,2285.7,7619.0,7619.0,30476,1523.8,2285.7,7619.0,2285.7,2285.7,7619.0,7619.0,30476,1523.8,2285.7,7619.0
13490,Municipiul Campulung,5543.25,5543.25,18477.5,18477.5,73910,3695.5,5543.25,18477.5,5543.25,5543.25,18477.5,18477.5,73910,3695.5,5543.25,18477.5
13524,Valea Mare Pravat,641.7,641.7,2139.0,2139.0,8556,427.8,641.7,2139.0,641.7,641.7,2139.0,2139.0,8556,427.8,641.7,2139.0
13622,Municipiul Curtea De Arges,5015.85,5015.85,16719.5,16719.5,66878,3343.9,5015.85,16719.5,5015.85,5015.85,16719.5,16719.5,66878,3343.9,5015.85,16719.5
13668,Oras Costesti,1596.3,1596.3,5321.0,5321.0,21284,1064.2,1596.3,5321.0,1596.3,1596.3,5321.0,5321.0,21284,1064.2,1596.3,5321.0
13757,Oras Topoloveni,1415.85,1415.85,4719.5,4719.5,18878,943.9,1415.85,4719.5,1415.85,1415.85,4719.5,4719.5,18878,943.9,1415.85,4719.5
13819,Albestii De Arges,908.55,908.55,3028.5,3028.5,12114,605.7,908.55,3028.5,908.55,908.55,3028.5,3028.5,12114,605.7,908.55,3028.5
13891,Albestii De Muscel,236.1,236.1,787.0,787.0,3148,157.4,236.1,787.0,236.1,236.1,787.0,787.0,3148,157.4,236.1,787.0
13935,Albota,589.35,589.35,1964.5,1964.5,7858,392.9,589.35,1964.5,589.35,589.35,1964.5,1964.5,7858,392.9,589.35,1964.5
13999,Aninoasa,502.5,502.5,1675.0,1675.0,6700,335.0,502.5,1675.0,502.5,502.5,1675.0,1675.0,6700,335.0,502.5,1675.0
14049,Arefu,369.6,369.6,1232.0,1232.0,4928,246.4,369.6,1232.0,369.6,369.6,1232.0,1232.0,4928,246.4,369.6,1232.0
14085,Babana,434.85,434.85,1449.5,1449.5,5798,289.9,434.85,1449.5,434.85,434.85,1449.5,1449.5,5798,289.9,434.85,1449.5
14165,Baiculesti,916.5,916.5,3055.0,3055.0,12220,611.0,916.5,3055.0,916.5,916.5,3055.0,3055.0,12220,611.0,916.5,3055.0
14272,Balilesti,610.95,610.95,2036.5,2036.5,8146,407.3,610.95,2036.5,610.95,610.95,2036.5,2036.5,8146,407.3,610.95,2036.5
14352,Beleti-Negresti,281.7,281.7,939.0,939.0,3756,187.8,281.7,939.0,281.7,281.7,939.0,939.0,3756,187.8,281.7,939.0
14405,Berevoesti,526.35,526.35,1754.5,1754.5,7018,350.9,526.35,1754.5,526.35,526.35,1754.5,1754.5,7018,350.9,526.35,1754.5
14450,Barla,694.35,694.35,2314.5,2314.5,9258,462.9,694.35,2314.5,694.35,694.35,2314.5,2314.5,9258,462.9,694.35,2314.5
