Siruta,Localitate,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
4240,Daia Romana,0.4725,0.4725,1.575,1.575,6.3,0.315,0.4725,1.575
4268,Dostat,0.14985,0.14985,0.4995,0.4995,1.998,0.0999,0.14985,0.4995
4302,Farau,0.24345,0.24345,0.8115,0.8115,3.246,0.1623,0.24345,0.8115
4366,Galda De Jos,0.6612,0.6612,2.204,2.204,8.816,0.4408,0.6612,2.204
4482,Garbova,0.31785,0.31785,1.0595,1.0595,4.238,0.2119,0.31785,1.0595
4525,Garda De Sus,0.2544,0.2544,0.848,0.848,3.392,0.1696,0.2544,0.848
4703,Hoparta,0.17955,0.17955,0.5985,0.5985,2.394,0.1197,0.17955,0.5985
4767,Horea,0.3153,0.3153,1.051,1.051,4.204,0.2102,0.3153,1.051
4927,Ighiu,1.03005,1.03005,3.4335,3.4335,13.734,0.6867,1.03005,3.4335
4981,Intregalde,0.09405,0.09405,0.3135,0.3135,1.254,0.0627,0.09405,0.3135
5103,Jidvei,0.79635,0.79635,2.6545,2.6545,10.618,0.5309,0.79635,2.6545
5167,Livezile,0.19065,0.19065,0.6355,0.6355,2.542,0.1271,0.19065,0.6355
5210,Lopadea Noua,0.4074,0.4074,1.358,1.358,5.432,0.2716,0.4074,1.358
5309,Lunca Muresului,0.3825,0.3825,1.275,1.275,5.1,0.255,0.3825,1.275
5336,Lupsa,0.4761,0.4761,1.587,1.587,6.348,0.3174,0.4761,1.587
5577,Metes,0.42495,0.42495,1.4165,1.4165,5.666,0.2833,0.42495,1.4165
5700,Mihalt,0.49185,0.49185,1.6395,1.6395,6.558,0.3279,0.49185,1.6395
5755,Miraslau,0.3183,0.3183,1.061,1.061,4.244,0.2122,0.3183,1.061
5826,Mogos,0.1218,0.1218,0.406,0.406,1.624,0.0812,0.1218,0.406
6048,Noslac,0.27255,0.27255,0.9085,0.9085,3.634,0.1817,0.27255,0.9085
6119,Ocolis,0.0885,0.0885,0.295,0.295,1.18,0.059,0.0885,0.295
6164,Ohaba,0.10125,0.10125,0.3375,0.3375,1.35,0.0675,0.10125,0.3375
6217,Pianu,0.54165,0.54165,1.8055,1.8055,7.222,0.3611,0.54165,1.8055
6271,Poiana Vadului,0.1665,0.1665,0.555,0.555,2.22,0.111,0.1665,0.555
6397,Ponor,0.0864,0.0864,0.288,0.288,1.152,0.0576,0.0864,0.288
6468,Posaga,0.15975,0.15975,0.5325,0.5325,2.13,0.1065,0.15975,0.5325
6547,Radesti,0.19905,0.19905,0.6635,0.6635,2.654,0.1327,0.19905,0.6635
6592,Rametea,0.15765,0.15765,0.5255,0.5255,2.102,0.1051,0.15765,0.5255
6627,Ramet,0.0813,0.0813,0.271,0.271,1.084,0.0542,0.0813,0.271
6761,Rosia Montana,0.43065,0.43065,1.4355,1.4355,5.742,0.2871,0.43065,1.4355
6930,Rosia De Secas,0.24015,0.24015,0.8005,0.8005,3.202,0.1601,0.24015,0.8005
6976,Salciua,0.23235,0.23235,0.7745,0.7745,3.098,0.1549,0.23235,0.7745
7044,Salistea,0.3531,0.3531,1.177,1.177,4.708,0.2354,0.3531,1.177
7099,Sasciori,0.96285,0.96285,3.2095,3.2095,12.838,0.6419,0.96285,3.2095
7197,Scarisoara,0.2523,0.2523,0.841,0.841,3.364,0.1682,0.2523,0.841
7348,Sancel,0.40545,0.40545,1.3515,1.3515,5.406,0.2703,0.40545,1.3515
7384,Santimbru,0.45285,0.45285,1.5095,1.5095,6.038,0.3019,0.45285,1.5095
7446,Sohodol,0.26955,0.26955,0.8985,0.8985,3.594,0.1797,0.26955,0.8985
7767,Stremt,0.37185,0.37185,1.2395,1.2395,4.958,0.2479,0.37185,1.2395
7810,Sibot,0.3696,0.3696,1.232,1.232,4.928,0.2464,0.3696,1.232
7865,Sona,0.66495,0.66495,2.2165,2.2165,8.866,0.4433,0.66495,2.2165
7945,Spring,0.38865,0.38865,1.2955,1.2955,5.182,0.2591,0.38865,1.2955
8014,Sugag,0.43695,0.43695,1.4565,1.4565,5.826,0.2913,0.43695,1.4565
8096,Oras Teius,1.12785,1.12785,3.7595,3.7595,15.038,0.7519,1.12785,3.7595
8158,Unirea,0.76065,0.76065,2.5355,2.5355,10.142,0.5071,0.76065,2.5355
8229,Vadu Motilor,0.20625,0.20625,0.6875,0.6875,2.75,0.1375,0.20625,0.6875
8354,Valea Lunga,0.4707,0.4707,1.569,1.569,6.276,0.3138,0.4707,1.569
8425,Vidra,0.2487,0.2487,0.829,0.829,3.316,0.1658,0.2487,0.829
8826,Vintu De Jos,0.82125,0.82125,2.7375,2.7375,10.95,0.5475,0.82125,2.7375
9019,Cut,0.19035,0.19035,0.6345,0.6345,2.538,0.1269,0.19035,0.6345
9026,Bucerdea Granoasa,0.3609,0.3609,1.203,1.203,4.812,0.2406,0.3609,1.203
9262,Municipiul Arad,26.87325,26.87325,89.5775,89.5775,358.31,17.9155,26.87325,89.5775
9280,Fantanele,0.5568,0.5568,1.856,1.856,7.424,0.3712,0.5568,1.856
9333,Livada,0.5211,0.5211,1.737,1.737,6.948,0.3474,0.5211,1.737
9360,Sofronea,0.41265,0.41265,1.3755,1.3755,5.502,0.2751,0.41265,1.3755
9397,Vladimirescu,1.9473,1.9473,6.491,6.491,25.964,1.2982,1.9473,6.491
9459,Oras Chisineu-Cris,1.26555,1.26555,4.2185,4.2185,16.874,0.8437,1.26555,4.2185
9495,Oras Curtici,1.3074,1.3074,4.358,4.358,17.432,0.8716,1.3074,4.358
9538,Oras Ineu,1.43715,1.43715,4.7905,4.7905,19.162,0.9581,1.43715,4.7905
9574,Oras Lipova,1.7094,1.7094,5.698,5.698,22.792,1.1396,1.7094,5.698
9627,Oras Nadlac,1.2003,1.2003,4.001,4.001,16.004,0.8002,1.2003,4.001
9654,Oras Pancota,1.2189,1.2189,4.063,4.063,16.252,0.8126,1.2189,4.063
9690,Oras Sebis,0.96675,0.96675,3.2225,3.2225,12.89,0.6445,0.96675,3.2225
9743,Almas,0.39375,0.39375,1.3125,1.3125,5.25,0.2625,0.39375,1.3125
9798,Apateu,0.51465,0.51465,1.7155,1.7155,6.862,0.3431,0.51465,1.7155
9832,Archis,0.23175,0.23175,0.7725,0.7725,3.09,0.1545,0.23175,0.7725
9887,Bata,0.15885,0.15885,0.5295,0.5295,2.118,0.1059,0.15885,0.5295
9930,Beliu,0.45375,0.45375,1.5125,1.5125,6.05,0.3025,0.45375,1.5125
10006,Birchis,0.28335,0.28335,0.9445,0.9445,3.778,0.1889,0.28335,0.9445
10051,Barsa,0.2751,0.2751,0.917,0.917,3.668,0.1834,0.2751,0.917
10104,Barzava,0.38145,0.38145,1.2715,1.2715,5.086,0.2543,0.38145,1.2715
10195,Bocsig,0.5094,0.5094,1.698,1.698,6.792,0.3396,0.5094,1.698

