,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
UploadSpeed,0.4392518392768966,0.3556645482182912,-0.13412758364102995,-0.38363345877683847,0.6306631544527735,0.14518138350940482,-0.13821205316313084,-0.14533598869747674,0.05963962333780081,-0.025942491004479058,0.016175461536116337,-0.020857530326149436,-0.03215582443758625,-0.019264279180216747,0.07855452520761742,-0.010874892197311671,0.13067610305474486,0.02568639341491662,-0.04459697636989363,-0.015410615830055307,0.016724441205916533,0.011119532420643476,0.0
Download,0.5924306539252729,0.482914895382689,-0.027890110845759847,-0.29297679132871773,0.47356275344139304,0.17244238967242054,-0.07103767666253229,-0.14083437230351512,0.043974284425927,-0.08745561155061536,-0.013546470357333484,-0.041040473211370776,0.02070702697776018,0.019243591168493945,-0.055036119162383705,0.021257500003872363,-0.1586480687035677,-0.0264067682550856,0.057110647723524074,0.01399101626918934,-0.013430122930117592,-0.009636600259075563,0.0
FixedBroadbandSubscriptions,0.7604776834776231,0.44559244436067136,0.20954391860564617,0.1387350154810908,-0.06442218467421214,-0.044481530286059084,-0.1168703841439681,-0.053195950226997205,-0.21450299589554994,0.053021524436642785,0.0040375071054766995,0.055682632345516354,0.13524844016943188,0.1387761437232077,-0.05189083091126399,-0.18903681892864252,-0.00022312587083536464,0.0654239064578558,-0.0006127219220182133,0.008212956071502932,0.008958810411645993,0.0013402873358556821,0.0
ChargesIntellProperty,0.24574511042678746,0.21465645856487447,0.08541277777661561,-0.0480218204511401,0.06719958668106973,0.04371066886850042,0.5657837352660957,-0.006007428256175667,-0.004006787215882026,-0.011363419102354288,-0.3186667050833885,0.11215101541789059,-0.06937284068072068,-0.11982595453627845,0.04466619324436612,-0.047336284802192895,-0.016267809218566773,0.039544982395822846,-0.00851251552754708,0.0025473367979787845,0.0057403561333519305,-0.003291984589808712,0.0
GovernmentExpenditureOnEducation,0.04937486997262309,0.06212986679806724,0.08636862030826892,0.21265660112584225,-0.04656712997015642,0.5295774728912213,0.07557685778737111,0.17419798653745402,0.09844932484909721,0.11161882213449821,0.25260707555930556,-0.08506309742000119,-0.03634799370880013,-0.16351250041707738,0.08587226221417622,-0.08537681698667887,-0.03507517554910365,0.02902561842105366,0.00284821560352888,0.001234667754966056,0.002676602296080424,-0.0017802190252407342,0.0
GrossEnrolmentRatio,0.6091006227820379,0.3621821879537595,-0.010225503740653622,0.22820665968693818,-0.03977756047134763,0.11717278974227714,-0.27027691949457733,0.31430863787558516,0.06296081718056391,-0.20718605481185054,-0.03935549461063569,0.3320544796666671,0.06790035374655536,-0.0968464725325795,-0.016360357204024394,0.04911777832497206,0.017593292521339024,-0.008711611879881613,0.006285168528102374,0.001038239865635772,0.0020630081530382425,0.0014873329468943369,0.0
HighTechnologyExports,0.22150580154781896,0.3234371308038482,-0.0001412901058770714,-0.162767116959207,0.11184792467043976,0.10503006439253856,0.07825488094867654,0.2875619458709611,0.0026443848558171273,0.48379840187933265,-0.04667186235968404,0.0749205424761839,0.06250448088863415,0.1257174986174459,-0.006144958072845143,0.07004395027824918,0.008440827195777632,-0.03275870445657919,-0.0010349614523167986,0.00017541112773047994,-0.007098828450151066,0.0010272996140072586,0.0
GINIindex,-0.5586931068240919,-0.23197243172332496,0.4039338019384868,0.4214920301775828,0.49500937421228547,-0.07083958450263825,0.05948423061542971,0.039140483519916495,-0.06482525897876089,0.03732278548620157,0.020147175783128864,-0.008577207519304297,0.01652809721049867,-0.03377896432775121,-0.0563408951751728,0.03965902068461075,0.06042795594687574,0.05471546118704099,0.11628415152722218,0.02469270405661971,0.009872767590295478,-0.0006616203984536257,0.0
IncomeShareLow20,0.48204123262446835,0.17162752395028932,-0.4381756024946645,-0.49422567817928714,-0.511172122185429,0.06993605875854048,-0.02488747104556904,-0.07973436923892861,0.02176465696671366,0.02875419479243126,-0.001047889153534923,-0.014251349263801545,-0.006502906623422074,-0.0316189065408186,0.026356020650578484,0.023017094967756814,0.05622721330902886,0.049917236782205374,0.11662245938021303,0.02517340569111173,0.00982024732591661,-0.0020664994047680982,0.0
SurveyMeanIncome,0.39608967068050843,0.4917586442523207,0.292500611242182,0.05673361304173534,-0.19296888013584096,0.2892007523832285,0.3232069112696616,-0.01644088316105052,0.01924260608398539,-0.16654067911175602,0.06921827569305275,-0.13945243810265864,0.11911685897120844,0.07261167592570833,-0.1621281172396507,0.09280850652474923,0.054683607204569384,0.011442816572651518,-0.02322731283537064,-0.023983425701738708,-0.0018118195411673174,0.0025138983580926632,0.0
Unemployment,0.07474214275355748,-0.21051517288883242,-0.07300743662409809,0.4898650506612825,-0.057483795427161664,0.32147410276841065,0.018374616987343072,-0.23968059872970676,0.22433726416871289,-0.041266982509772294,-0.09194364315819241,0.07050971764290477,-0.004141496050258625,0.24129106467615538,0.13709291352160508,0.009587893768713766,0.010163511852734142,-0.013953328594857022,0.021594964827120443,0.013082773719959452,-0.0008043336262058057,-0.0008453525294678945,0.0
UnemploymentTertiaryEducation,0.33495055324517714,0.047304532669770416,-0.1987328053807235,-0.1061854688827182,0.151245797732434,-0.36263981542442286,0.22966797516924856,0.40936125468770873,0.23559900609738743,-0.1718459490918256,0.11864063866355523,-0.07250269930609864,-0.03649277542022169,0.1511147796076594,0.0495508031937453,-0.049679973685885656,-0.0046486077314620775,0.02047484557711582,0.018589820775564345,0.0022764860942637273,0.0032651086116299555,-0.0007566750585921928,0.0
GDP_BM,0.4989117672682844,0.4909138515979016,0.33302221195035553,0.07247231370979301,-0.04956799492114574,-0.35236304003436436,0.22504309593133667,-0.2720004120179397,-0.01571427826418501,0.05078853267484103,0.2534733595390979,0.1427052906705601,0.07843839065800572,-0.0593014347710234,0.13284907439254953,0.04441276380679235,-0.0032432755979127175,-0.03954349091835424,0.011618893845362918,-0.004435914838228372,-0.010820854538939072,0.004717755424397429,0.0
