Indicativ,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
is,1.288,-1.701,-0.9,2.752,2.741,-0.488,1.281,-0.629,-0.433,-0.008,2.199,1.861,1.772,1.144,0.885,0.293,-0.918,-0.139,1.04,-0.98,-1.078,-0.208,-0.802,-0.532,-1.16,-0.409,-0.775,-0.717,-0.264,-0.444,-0.619
if,2.114,-1.612,-1.504,-0.883,-0.165,-1.897,1.338,-0.402,-1.516,-0.002,-1.701,-1.818,-0.375,-2.045,-0.891,-0.808,0.413,0.806,3.407,-1.53,-2.272,0.255,-1.045,5.358,-1.319,-0.606,-0.291,-1.817,-1.075,-0.259,1.056
mm,0.188,-0.683,0.86,-0.203,-0.353,-0.958,-0.715,-0.113,-0.198,-0.019,-0.173,-0.045,-0.424,-0.196,-0.682,0.047,0.082,-0.351,-0.638,-0.853,0.225,-0.558,0.079,-0.406,-0.747,-0.119,-0.349,0.518,-0.606,-0.385,0.047
mh,-1.004,1.174,-0.405,-0.57,-0.421,1.45,-0.467,-0.771,1.422,0.278,-0.457,-0.17,-0.37,-0.225,0.428,-0.075,-0.823,-0.729,0.0,1.254,0.056,-0.336,-0.267,-0.192,2.315,-0.161,1.126,1.433,0.456,0.105,-0.866
b,0.738,-0.816,-1.889,1.607,1.478,-1.603,4.229,0.959,-1.876,2.657,2.903,3.314,3.327,4.577,1.663,0.355,2.469,5.144,3.507,-2.312,-2.672,2.231,-0.0,0.816,-1.99,-0.074,3.471,-2.4,1.678,2.765,1.359
ms,0.738,-0.064,0.86,-0.602,-0.415,-0.723,0.321,-0.42,0.488,-0.164,0.405,0.826,1.689,0.292,0.053,0.496,1.454,-0.17,-0.408,0.097,-0.156,-0.464,0.342,-0.604,-1.07,0.31,-0.622,-0.674,-0.334,0.126,-0.374
nt,-1.004,0.245,1.575,0.523,0.032,0.628,-0.729,-0.989,0.388,-0.331,-0.362,-0.556,-0.512,-0.031,-0.197,0.379,-1.656,-0.669,-0.573,-0.614,-0.017,-0.2,1.418,1.476,-0.833,-0.116,-0.363,0.507,-0.623,-0.724,-0.739
ot,-1.004,1.13,0.475,-0.725,-0.443,1.156,0.018,-0.713,0.438,-0.909,-0.736,-0.647,-0.492,-0.553,0.142,-0.81,-1.438,-0.503,-0.587,1.443,-0.198,0.995,-0.903,-0.258,0.368,-0.71,-0.634,-0.596,-1.063,-0.788,0.442
ph,-0.638,0.82,-0.845,-0.535,-0.425,-0.605,0.446,-0.66,-0.942,0.887,-0.563,-0.081,-0.612,-0.485,-0.412,0.538,-0.566,0.291,-0.559,-1.033,-1.154,-0.489,-0.465,-0.195,-1.376,0.199,-0.928,-0.709,1.354,-0.208,0.205
sj,1.472,-0.064,1.685,-0.737,-0.416,0.745,-0.492,0.733,1.18,-0.126,0.056,-0.081,-0.38,0.775,0.316,-0.228,0.303,-0.118,-0.614,1.087,0.383,-0.475,-0.08,-0.047,-0.571,-0.593,1.181,0.866,0.138,-0.031,0.036
sm,-0.454,-0.639,-0.405,-0.083,-0.385,-0.136,-0.549,0.346,0.188,-1.113,-0.33,-0.491,-0.51,-0.213,0.053,-0.703,0.694,-0.201,-0.625,1.523,-0.522,-0.237,-0.652,0.284,-0.159,-0.494,-0.361,-0.351,-0.051,0.328,0.015
sb,0.279,-1.258,0.145,1.034,-0.328,-0.664,0.839,0.667,-0.441,0.434,1.089,0.354,0.488,1.054,2.46,2.839,0.473,0.696,2.123,-1.111,-0.378,-0.504,-0.06,0.623,0.4,0.694,0.488,0.079,0.756,1.866,1.751
sv,2.389,-1.081,1.41,0.088,0.18,0.686,-0.576,-0.45,0.482,-0.774,1.037,-0.761,-0.729,0.232,-0.546,0.217,-1.343,-0.704,-0.024,0.191,0.838,-0.335,2.013,-0.071,0.429,0.28,-0.076,-0.004,-1.687,-1.03,-0.755
tr,-1.646,2.678,-1.779,-0.377,-0.397,1.567,-0.868,0.229,2.271,-0.822,-1.448,-0.306,-0.737,-1.036,-0.844,-0.861,-0.827,-0.722,-0.629,2.077,0.495,-0.226,-0.936,-0.59,0.988,-0.812,-0.641,0.345,-1.97,-1.251,-0.898
tm,0.738,-0.993,-0.955,0.961,-0.254,-1.545,1.851,-0.372,-1.549,0.229,1.177,0.88,2.816,0.032,-0.387,-0.728,1.992,1.277,0.838,0.194,1.146,-0.011,-0.725,0.701,-0.251,-0.345,-0.429,-1.059,1.175,0.911,2.719
tl,-0.913,0.29,3.115,0.437,-0.414,-0.547,-0.099,0.807,-0.33,-0.601,-0.736,-1.117,-0.591,0.219,0.025,0.495,-0.338,-0.256,-0.013,0.132,0.783,-0.168,-0.276,-0.101,0.949,0.402,3.307,2.95,0.524,-0.66,-0.025
vl,-1.555,-1.877,-1.504,-0.847,-0.438,-0.194,-0.685,0.792,-0.558,0.014,-0.879,0.34,-0.288,-0.206,-0.303,0.44,0.209,-0.126,-0.459,-0.114,0.867,-0.477,0.388,-0.21,0.199,1.676,0.644,0.812,0.177,-0.589,-0.732
vs,0.371,-0.993,-1.065,3.04,4.002,2.037,-0.503,-0.491,2.249,-1.184,-0.314,-0.581,-0.739,-0.304,-0.663,-0.495,-0.77,-1.101,-0.468,-0.525,0.012,-0.44,-0.663,-1.172,1.056,-0.695,0.348,1.541,-1.832,-1.053,-0.896
vn,-0.362,0.113,-0.24,-0.241,-0.379,0.158,-0.808,-0.791,0.952,-1.275,-0.438,-1.194,-0.628,-0.88,-0.009,-0.225,1.865,-0.611,-0.611,0.141,0.483,-0.145,0.357,0.339,-0.165,-0.699,-0.139,0.088,0.097,-0.576,-0.79
