,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
Download,0.35265592067108154,0.5792183153982586,0.5807327936044124,0.6506607164971804,0.790971266731568,0.840533952142546,0.8781918324845486,0.9390998424122159,0.9503972987381638,0.9545881508741347,0.9546775831840557,0.9549744976551396,0.9564128407465368,0.956812115564838,0.9568146492554579,0.9585086389949151,0.9975392370588043,0.9977381735186737,0.9996771190186631,0.9996815166649623,0.9999102145510111,0.9999999086767489,1.0000000000000007
FixedBroadbandSubscriptions,0.5793683380107137,0.7689895846562873,0.8100177014978396,0.8262846457455334,0.8283520554066648,0.8445239282448633,0.8594218253429372,0.8597243289539163,0.8681124323050944,0.8760335188668728,0.8762940650903946,0.8867883813223895,0.8914087231471358,0.8969223156068857,0.9210172838291778,0.9963507173795088,0.9988980066339554,0.9998695696090371,0.9998734954397644,0.9999532782643987,0.9999811611620018,0.9999975473487271,0.9999999999999994
ChargesIntellProperty,0.06904411907624225,0.12826201753621735,0.14031755367421617,0.14471100935010808,0.16052985449248164,0.1894067854651217,0.8059559301548087,0.8692545840422535,0.8802754651417567,0.893069961141256,0.9452370386595188,0.9977612989723318,0.9983828602152123,0.9985669487303948,0.9992529135430757,0.9996031157875203,0.9996229618501216,0.9999843616320317,0.9999932734508793,0.9999941224677076,0.9999965128791238,0.999999465022452,0.9999999999999987
GovernmentExpenditureOnEducation,0.0028913479845729378,0.00817873938646764,0.025545407696873065,0.18278396155454618,0.19295771372885026,0.7022835316752734,0.7025084476450135,0.7984145441308407,0.8821241623712902,0.9079287516783188,0.9555507161115788,0.9948412748911074,0.995034167998168,0.9960791082721758,0.9996749847914808,0.9999403417854794,0.9999504258477404,0.9999990607667407,0.9999990841127783,0.9999998229196622,0.9999998248025413,0.9999999799267514,1.0000000000000002
GrossEnrolmentRatio,0.380287356355475,0.5098944596860152,0.510127807821629,0.569542539339437,0.5700389530598609,0.5702492273247592,0.6112164547188798,0.6498508887832333,0.6632509249611553,0.6645697010185861,0.8779720910498843,0.8872873515540023,0.9594391947843184,0.9960040463164075,0.9973456198955449,0.9998353137572087,0.9998650605533101,0.9998776784089916,0.9999821155172898,0.9999853860373823,0.9999952684811662,0.9999964700306326,0.9999999999999989
HighTechnologyExports,0.05659531687609587,0.1919112015967193,0.19194730620767766,0.23748280573521305,0.2584595088503253,0.3671175457929101,0.3695381600144382,0.5865080077605247,0.9714648502099931,0.9889130936365716,0.9908983302770369,0.9984292789508831,0.9987017210407083,0.9990690559851799,0.9993182238052277,0.9999195793582637,0.9999516710607234,0.9999877340961432,0.9999933771105352,0.9999936250366115,0.9999999155845095,0.9999999932622231,1.0000000000000002
GINIindex,0.3120588344618886,0.3623052278509745,0.5236223415014569,0.623869843677719,0.9448763059919276,0.9505046795418928,0.9513559769351025,0.9546392111765504,0.9553796824114412,0.9656575040116258,0.9659267710869339,0.9708652978035742,0.9708658073803308,0.9723580343636665,0.9734762750573324,0.9735782684881356,0.9753554409473182,0.9762791339121037,0.9993388960359849,0.9999173427736783,0.9999973205798242,0.9999976797008163,0.9999999999999998
IncomeShareLow20,0.232066550724294,0.2594643792826942,0.4476707289484145,0.5954387572381115,0.9485128614243685,0.958726955611861,0.9588275709217263,0.965016800063928,0.9650574981015629,0.9679836748134945,0.9695678193826279,0.9733877429651193,0.9734149277040282,0.9739720888239589,0.9747803171179183,0.9757466217612167,0.9777158101146187,0.9782937473304611,0.9994882296130935,0.9999226550157398,0.9999940334946947,0.9999979135876281,1.0000000000000007
SurveyMeanIncome,0.16664510595946747,0.4289308620577441,0.5338502362813713,0.550799740745506,0.6027179962233911,0.6468590956748589,0.7041900751171332,0.7142681970337713,0.7462723857937484,0.7495701845026052,0.7515244776792035,0.9332256849336011,0.9435502521487713,0.9826384468017137,0.9975612066646562,0.9980394099963777,0.9990072403660288,0.9997630055838155,0.99984397788371,0.9999989525691373,0.9999997811302498,0.9999999999654442,0.9999999999999997
Unemployment,0.006073903996496581,0.06359089288963726,0.0687200232955443,0.5453358086394732,0.5465549924681073,0.584510004691926,0.5847211285737489,0.6753704808874226,0.6906810661034437,0.9784624720195447,0.9786834928981688,0.9789221776691521,0.9810583077144688,0.9943232783248067,0.9995687151259418,0.9998893239894842,0.9998920797130428,0.9999175590215142,0.9999774107644568,0.9999993361466174,0.9999995621653576,0.9999998156783826,0.9999999999999998
UnemploymentTertiaryEducation,0.12351956521271652,0.1260272193127893,0.18940146652932163,0.234728263036335,0.3020976199156725,0.369190426700259,0.49584925581892897,0.7097727577828726,0.8623152966812808,0.9862181189188131,0.9878893997725556,0.9891852194545921,0.9891894780116666,0.9977111099769346,0.99858883954138,0.99983282796213,0.999847405388728,0.9999159197422698,0.9999964144158615,0.9999971497416766,0.9999998936553636,0.9999999225250029,1.0000000000000009
GDP_BM,0.2518081905229548,0.4888369705659952,0.593735471636083,0.5946648352521977,0.5946677452549503,0.6915296921683473,0.7151296661133362,0.7279837479397994,0.7291789025986257,0.731270057293026,0.8801394274498078,0.8815444647503462,0.9725248252961709,0.9733616208245139,0.9849454334459824,0.9988016008966062,0.9989736251283919,0.9997722647828374,0.9997734326970538,0.9998990074258365,0.9999636490891158,0.9999997387137796,1.0000000000000013
